"Exp","Group","Age (mean)","Age (SD)","Female","Male","GMSI (mean)","GMSI (SD)","MET Mel (mean)","MET Mel (SD)","MET Rhy (mean)","MET Rhy (SD)","MET Total (mean)","MET Total (SD)"
"MEG","N",26.9,3.48,10,10,10.65,4.06,33.35,5.58,36.45,5.09,70,9.36
"MEG","M",24.2,3.09,8,12,36.8,6.77,42.6,3.68,41.45,4.14,84.05,6.98
